Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch
Thursday,11:00-12:00,C305,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Lecture,CSE
Thursday,11:00-12:00,C206,HS205,Ethics,Dr. Jolly Thomas,Lecture,ECE
Thursday,11:00-12:00,L107,EC205,Control Systems,Dr. Pankaj Kumar,Practical,ECE
Thursday,12:00-13:00,C002, DS351,Statistics for Health Technology,Dr. Ramesh Athe,Lecture,ECE
Thursday,12:00-13:00,C302,EC162,Network Analysis,Dr. Sibasankar Padhy,Lecture,ECE
Thursday,12:00-13:00,C305,DS358,Deep Speech Processing,Prof. SRM Prasanna,Tutorial,ECE
Thursday,12:00-13:00,C206,DS309,Cloud Computing,Dr. Animesh Chaturvedi,Lecture,DSAI
Thursday,12:00-13:00,C104,CS455,Blockchain Technology,Dr. Rajendra H,Lecture,DSAI
Thursday,12:00-13:00,L107,CS204,Operating System,Dr. Suvadip Hazra/ Dr. Malay/ Dr. Dibyajyothi,Practical,CSE
Thursday,13:00-14:00,,,Lunch Break,,Break,
Thursday,14:00-15:00,C002,MA202,Linear Algebra,Dr. Anand Barangi,Lecture,CSE
Thursday,14:00-15:00,C003,CS165,Mathematical foundations of Computing,Dr. Animesh Roy,Lecture,CSE
Thursday,14:00-15:00,C101,CS458,Natural Language Processing,Dr. Krishnendu,Lecture,ECE
Thursday,14:00-15:00,C102,EC310,Embedded Systems Design,Dr. Prakash Pawar,Lecture,ECE
Thursday,14:00-15:00,C104,DS308,Data Security and Privacy,Dr. Abdul Wahid & Dr. Rajendra Hegadi,Lecture,DSAI
Thursday,15:00-16:00,C002, DS351,Statistics for Health Technology,Dr. Ramesh Athe,Lecture,ECE
Thursday,15:00-16:00,C204, CS164,Computer Architecture,Dr. Manjunath,Lecture,DSAI
Thursday,15:00-16:00,C305,DS358,Deep Speech Processing,Prof. SRM Prasanna,Lecture,ECE
Thursday,15:00-16:00,C206,DS356,Medical Image Analysis,Dr. Girish GN,Lecture,CSE
Thursday,15:00-16:00,C202,CS164,Computer Architecture,Dr.Jagadish D N,Lecture,ECE
Thursday,16:00-17:00,C002,ASD351,Design Thinking and Innovation,Dr. Sandesh P,Lecture,ECE
Thursday,16:00-17:00,C003,CS462,Computer Graphics,Dr. Vivekraj V K,Lecture,CSE
Thursday,16:00-17:00,C305,DS351,Statistics for Health Technology,Dr. Ramesh Athe,Tutorial,CSE
Thursday,16:00-17:00,C104,DS308,Data Security and Privacy,Dr. Abdul Wahid & Dr. Rajendra Hegadi,Lecture,DSAI
Thursday,17:00-17:30,,,Snack Break,,Break,
Friday,09:00-10:00,C002,ASD351,Design Thinking and Innovation,Dr. Sandesh P,Lecture,ECE
Friday,09:00-10:00,C203,EC205,Control Systems,Dr. Pankaj Kumar,Lecture,ECE
Friday,09:00-10:00,C101,HS204,Economics,Dr.Anushree K,Lecture,ECE
Friday,09:00-10:00,C202,DS164,Data Curation Techniques,Dr. Siddharth R.,Lecture,DSAI
Friday,10:00-11:00,C003,CS162,Optimization,Dr. Dibyajyoti Guha,Lecture,DSAI
Friday,11:00-12:00,C002,DS357,Large Languange Models,Dr. Sunil S,Tutorial,CSE
Friday,11:00-12:00,C303,CS301,Software Engineering,Dr. Vivekraj V K/ Dr. Sunil Kumar P V,Lecture,CSE
Friday,11:00-12:00,C305,CS204,Operating System,Dr. Suvadip Hazra/ Dr. Malay/ Dr. Dibyajyothi,Lecture,CSE
Friday,11:00-12:00,C206,DS356,Medical Image Analysis,Dr. Girish GN,Lecture,CSE
Friday,11:00-12:00,C101,CS464,Deep Learning for Computer Vision ,Dr. Chinmayanand,Lecture,ECE
Friday,12:00-13:00,C003,DS307,Innovation and Entrepreneurship,Mr. Ram Subramanian ( Course Coordinator: Dr.  Manjunath KV),Tutorial,DSAI
Friday,12:00-13:00,C204,CS365,Model Checking,Dr. Pavan,Lecture,CSE
Friday,12:00-13:00,C202,CS310,Database Management System,Dr. Shirshendu and Dr. Utkarsh Khaire,Lecture,DSAI
Friday,12:00-13:00,L106, CS164,Computer Architecture,Dr. Manjunath,Practical,DSAI
Friday,13:00-14:00,,,Lunch Break,,Break,
Friday,14:00-15:00,C002,MA202,Linear Algebra,Dr. Anand Barangi,Lecture,CSE
Friday,14:00-15:00,C003,CS165,Mathematical foundations of Computing,Dr. Animesh Roy,Lecture,CSE
Friday,14:00-15:00,C305,EC307,Wireless Communication,Dr. Rajib Sharma/ Dr. Rao (Lab),Lecture,ECE
Friday,14:00-15:00,C203,CS310,Database Management System,Dr. Shirshendu and Dr. Utkarsh Khaire,Tutorial,DSAI
Friday,15:00-16:00,C002,MA163,Linear Algebra,Dr. Sibasankar Padhy/ Dr Somen Bhattacharjee,Tutorial,CSE
Friday,15:00-16:00,C003,DS307,Innovation and Entrepreneurship,Mr. Ram Subramanian ( Course Coordinator: Dr.  Manjunath KV),Lecture,DSAI
Friday,15:00-16:00,C206,DS306,Financial Data Analytics,Dr.Utkarsh Khaire,Lecture,DSAI
Friday,15:00-16:00,C101,EC361,Introduction to 5G Network,Dr. Jagadeesha R Bhat,Lecture,ECE
Friday,15:00-16:00,C102,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),Lecture,ECE
Friday,15:00-16:00,C104,EC362,Automotive Embedded and Multimedia Systems,Mr. Jagadeesh K                                              (Dr Sibasankar Padhy),Lecture,CSE
Friday,15:00-16:00,L206,DS164,Data Curation Techniques,Dr. Siddharth R.,Practical,DSAI
Friday,16:00-17:00,C002,ASD351,Design Thinking and Innovation,Dr. Sandesh P,Lecture,ECE
Friday,16:00-17:00,C003,DS307,Innovation and Entrepreneurship,Mr. Ram Subramanian ( Course Coordinator: Dr.  Manjunath KV),Lecture,DSAI
Friday,16:00-17:00,C204,CS455,Blockchain Technology,Dr. Rajendra H,Tutorial,CSE
Friday,16:00-17:00,C302,DS204,Software Engineering and Services,Dr. Animesh Chaturvedi,Lecture,DSAI
Friday,16:00-17:00,C206,CS471,Deep Computer Vision,Chinmayanand,Lecture,CSE
Friday,16:00-17:00,C101,CS458,Natural Language Processing,Dr. Krishnendu,Tutorial,ECE
Friday,17:00-17:30,,,Snack Break,,Break,
